stone_name,color_name
T46,Rosal_Real
T47,Rosal_Real
T48,Rosal_Real
T49,Rosal_Real
T50,Rosal_Real
T51,Rosal_Real
T52,Rosal_Real
T53,Rosal_Real
Z1,Branco_Real
Z2,Branco_Real
Z3,Branco_Real
Z4,Branco_Real
Z5,Branco_Real
Z6,Branco_Real
Z7,Branco_Real
Z8,Branco_Real
Z9,Branco_Real
Z10,Branco_Real
Z11,Branco_Real
Z12,Branco_Real
Z13,Branco_Real
Z14,Branco_Real
Z15,Branco_Real
Z16,Branco_Real
Z17,Branco_Real
Z18,Branco_Real
Z19,Branco_Real
Z20,Branco_Real
Z21,Branco_Real
Z22,Branco_Real
Z23,Branco_Real
Z24,Branco_Real
Z25,Branco_Real
Z26,Branco_Real
Z27,Branco_Real
Z28,Branco_Real
Z29,Branco_Real
Z30,Branco_Real
Z31,Rosal_Dunas
Z32,Rosal_Dunas
Z33,Rosal_Dunas
Z34,Rosal_Dunas
Z35,Rosal_Dunas
Z36,Rosal_Dunas
Z37,Rosal_Dunas
Z38,Rosal_Dunas
Z39,Rosal_Dunas
Z40,Rosal_Dunas
Z41,Rosal_Dunas
Z42,Rosal_Dunas
Z43,Rosal_Dunas
Z44,Rosal_Dunas
Z45,Rosal_Dunas
Z46,Rosal_Dunas
Z47,Rosal_Dunas
Z48,Rosal_Dunas
Z49,Rosal_Dunas
Z50,Rosal_Dunas
Z51,Rosal_Dunas
Z52,Rosal_Dunas
Z53,Rosal_Dunas
Z54,Rosal_Dunas
Z55,Rosal_Dunas
Z56,Rosal_Dunas
Z57,Rosal_Dunas
Z58,Rosal_Dunas
Z59,Rosal_Dunas
Z60,Rosal_Dunas
